Time Slot,Activity
5:00 AM to 5:30 AM,"Walk with audio book: Seerah Muhammad and Imams, audio book how to win FIP"
5:30 AM to 6:00 AM,FAJR Prayer
6:00 AM to 6:30 AM,"Read Quran in good voice in morning after Fajr in home, Target half parah."
6:30 AM to 7:00 AM,"Pre-workout diet Gas-removing diet, drive to gym"
7:00 AM to 7:30 AM,GYM with audio book listen while walking / running / exercise in GYM
7:30 AM to 8:00 AM,GYM with audio book listen while walking / running / exercise in GYM
8:00 AM to 8:30 AM,Focused Office Work + Breakfast Paratha Anda Shami Kebab Roll + Coffee
8:30 AM to 9:00 AM,Focused Office Work
9:00 AM to 9:30 AM,Quran session attend in home conducted my Mama and some participants
9:30 AM to 10:00 AM,Quran session attend in home conducted my Mama and some participants
10:00 AM to 10:30 AM,Focused Office Work
10:30 AM to 11:00 AM,Focused Office Work
11:00 AM to 11:30 AM,Focused Office Work
11:30 AM to 12:00 PM,Focused Office Work
12:00 PM to 12:30 PM,Focused Office Work
12:30 PM to 1:00 PM,Focused Office Work
1:00 PM to 1:30 PM,Focused Office Work
1:30 PM to 2:00 PM,"ZUHR Prayer, Rest"
2:00 PM to 2:30 PM,Rest
2:30 PM to 3:00 PM,Meet friends/mentors for coffee / tea / lunch / dinner
3:00 PM to 3:30 PM,Meet friends/mentors for coffee / tea / lunch / dinner
3:30 PM to 4:00 PM,Meet friends/mentors for coffee / tea / lunch / dinner
4:00 PM to 4:30 PM,"ASR Prayer, walk with wife"
4:30 PM to 5:00 PM,walk with wife
5:00 PM to 5:30 PM,"MAGRIB Prayer, take rest 15 min"
5:30 PM to 6:00 PM,"Muneeb time: reading / writing reflection, writing for improvement of me, wife, "
6:00 PM to 6:30 PM,"Muneeb time: family, friends, planning, tell stories on shorts, at end tell moral lesson"
6:30 PM to 7:00 PM,Book reading with Wife
7:00 PM to 7:30 PM,"ISHA Prayer, take rest 15 min"
7:30 PM to 8:00 PM,family time: doing combine physical exercise / walk and talk / book reading
8:00 PM to 8:30 PM,family time: playing darts and more activities etc / going on a 1-2 hour long drive eat
8:30 PM to 9:00 PM,family time: more activities
9:00 PM to 9:30 PM,Wind down
9:30 PM to 10:00 PM,Sleep
10:00 PM to 10:30 PM,Sleep
10:30 PM to 11:00 PM,Sleep
11:00 PM to 11:30 PM,Sleep
11:30 PM to 12:00 AM,Sleep
12:00 AM to 12:30 AM,Sleep
12:30 AM to 1:00 AM,Sleep
1:00 AM to 1:30 AM,Sleep
1:30 AM to 2:00 AM,Sleep
2:00 AM to 2:30 AM,Sleep
2:30 AM to 3:00 AM,Sleep
3:00 AM to 3:30 AM,Sleep
3:30 AM to 4:00 AM,Sleep
4:00 AM to 4:30 AM,Sleep
4:30 AM to 5:00 AM,Sleep
